t,yaw,pitch,roll,arealX,arealY,arealZ,aworldX,aworldY,aworldZ,gpstime,lat,lon,speed,alt
0.093461,5.69,45.88,-9.54,0.35,-0.03,0.45,-0.08,0.07,0.57,13-12-1901 20:45:52,0.00,-166789625926658381592203655073542661642007598010108926079876423243728840357107493929350297706155653968112487114919978710682655295909560685940129483241022975619698416058913387281809582611138569382531500014143799296.00,-757119178908359787074503762867099274461703529759422354310580213120445550706631504627788839730056906101176678911510163392299008.00,-113049749052069437299718944549291348378865915097506900052313919000366413723790175172123323950087704370640273162946632739877311028488787531681981380515426102078557450212028738104035318923213886455808.00
11.577291,-1.41,40.68,1.31,0.55,-0.09,0.83,-0.12,-0.12,0.98,,,,,
11.583783,-1.41,40.69,1.30,0.55,-0.09,0.83,-0.12,-0.12,0.98,,,,,
11.590161,-1.43,40.69,1.31,0.55,-0.10,0.83,-0.12,-0.12,0.98,,,,,
11.597677,-1.43,40.69,1.31,0.55,-0.10,0.83,-0.12,-0.12,0.99,,,,,
11.604914,-1.43,40.69,1.30,0.55,-0.10,0.83,-0.12,-0.12,0.98,,,,,
11.612040,-1.44,40.69,1.30,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.619206,-1.44,40.69,1.30,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.626462,-1.45,40.69,1.29,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.633571,-1.45,40.69,1.29,0.55,-0.10,0.82,-0.12,-0.13,0.98,,,,,
11.640544,-1.46,40.69,1.29,0.55,-0.10,0.82,-0.12,-0.13,0.98,,,,,
11.647496,-1.46,40.69,1.29,0.55,-0.10,0.82,-0.12,-0.13,0.98,,,,,
11.654426,-1.46,40.69,1.29,0.55,-0.10,0.83,-0.12,-0.12,0.98,,,,,
11.661469,-1.46,40.69,1.29,0.55,-0.10,0.83,-0.12,-0.12,0.99,,,,,
11.668487,-1.47,40.69,1.29,0.56,-0.10,0.83,-0.12,-0.12,0.99,,,,,
11.675428,-1.47,40.69,1.29,0.55,-0.10,0.83,-0.12,-0.12,0.98,,,,,
11.682752,-1.48,40.69,1.29,0.55,-0.10,0.82,-0.11,-0.12,0.98,,,,,
11.690238,-1.48,40.69,1.29,0.56,-0.10,0.82,-0.11,-0.12,0.98,,,,,
11.697876,-1.49,40.70,1.29,0.56,-0.10,0.82,-0.11,-0.12,0.98,,,,,
11.705671,-1.49,40.70,1.29,0.56,-0.10,0.82,-0.11,-0.12,0.98,,,,,
11.713133,-1.50,40.70,1.29,0.56,-0.10,0.82,-0.11,-0.12,0.98,,,,,
11.721499,-1.50,40.70,1.29,0.56,-0.10,0.82,-0.11,-0.13,0.98,,,,,
11.729135,-1.50,40.71,1.28,0.56,-0.10,0.82,-0.11,-0.13,0.98,,,,,
11.737078,-1.50,40.71,1.28,0.56,-0.11,0.82,-0.11,-0.13,0.98,,,,,
11.744781,-1.51,40.71,1.28,0.56,-0.11,0.82,-0.11,-0.13,0.98,,,,,
11.752657,-1.51,40.71,1.27,0.56,-0.11,0.82,-0.11,-0.13,0.98,,,,,
11.759838,-1.52,40.71,1.27,0.55,-0.11,0.83,-0.12,-0.13,0.98,,,,,
11.766802,-1.52,40.71,1.27,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.773673,-1.52,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.780525,-1.52,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.787618,-1.53,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.98,,,,,
11.794342,-1.53,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.99,,,,,
11.802283,-1.54,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.99,,,,,
11.809936,-1.54,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.99,,,,,
11.817537,-1.55,40.71,1.26,0.55,-0.10,0.83,-0.12,-0.13,0.99,,,,,
